Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
aurora-wireless-headphones,Aurora Wireless Headphones,"<p>Fones bluetooth com cancelamento de ruido e bateria de longa duracao.</p>",Dotz Gear,Electronics > Audio > Headphones,Headphones,"audio,featured,colecao-eletronicos",TRUE,Title,Default Title,DOTZ-HP-001,320,shopify,120,deny,manual,299.90,349.90,TRUE,TRUE,https://picsum.photos/seed/aurora-headphones/1200/1200,1,Aurora Wireless Headphones,FALSE,active
pulse-portable-speaker,Pulse Portable Speaker,"<p>Caixa de som compacta com graves potentes e resistencia a agua.</p>",Dotz Gear,Electronics > Audio > Speakers,Speaker,"audio,featured,colecao-eletronicos",TRUE,Title,Default Title,DOTZ-SP-001,540,shopify,95,deny,manual,249.90,299.90,TRUE,TRUE,https://picsum.photos/seed/pulse-speaker/1200/1200,1,Pulse Portable Speaker,FALSE,active
nebula-mechanical-keyboard,Nebula Mechanical Keyboard,"<p>Teclado mecanico RGB com switch tactile e formato TKL.</p>",Dotz Labs,Electronics > Computer Accessories > Keyboards,Keyboard,"gaming,perifericos,colecao-tech",TRUE,Title,Default Title,DOTZ-KB-001,890,shopify,70,deny,manual,459.90,529.90,TRUE,TRUE,https://picsum.photos/seed/nebula-keyboard/1200/1200,1,Nebula Mechanical Keyboard,FALSE,active
vector-gaming-mouse,Vector Gaming Mouse,"<p>Mouse ergonomico com sensor de alta precisao e 6 botoes programaveis.</p>",Dotz Labs,Electronics > Computer Accessories > Mice,Mouse,"gaming,perifericos,colecao-tech",TRUE,Title,Default Title,DOTZ-MS-001,140,shopify,160,deny,manual,179.90,229.90,TRUE,TRUE,https://picsum.photos/seed/vector-mouse/1200/1200,1,Vector Gaming Mouse,FALSE,active
atlas-ergonomic-chair,Atlas Ergonomic Chair,"<p>Cadeira ergonomica para home office com ajuste lombar e apoio de cabeca.</p>",Dotz Home,Furniture > Chairs,Office Chair,"home-office,moveis,colecao-home",TRUE,Title,Default Title,DOTZ-CH-001,14500,shopify,35,deny,manual,1299.90,1499.90,TRUE,TRUE,https://picsum.photos/seed/atlas-chair/1200/1200,1,Atlas Ergonomic Chair,FALSE,active
halo-smart-desk-lamp,Halo Smart Desk Lamp,"<p>Luminaria inteligente com temperatura de cor ajustavel via app.</p>",Dotz Home,Home & Garden > Lighting,Lamp,"casa,iluminacao,colecao-home",TRUE,Title,Default Title,DOTZ-LP-001,820,shopify,88,deny,manual,219.90,269.90,TRUE,TRUE,https://picsum.photos/seed/halo-lamp/1200/1200,1,Halo Smart Desk Lamp,FALSE,active
trail-urban-backpack,Trail Urban Backpack,"<p>Mochila urbana resistente, compartimento para notebook e bolso antifurto.</p>",Dotz Urban,Luggage & Bags > Backpacks,Backpack,"lifestyle,mochila,colecao-urban",TRUE,Title,Default Title,DOTZ-BP-001,760,shopify,110,deny,manual,199.90,249.90,TRUE,TRUE,https://picsum.photos/seed/trail-backpack/1200/1200,1,Trail Urban Backpack,FALSE,active
flow-insulated-bottle,Flow Insulated Bottle,"<p>Garrafa termica inox 750ml, conserva gelado por ate 24h.</p>",Dotz Urban,Home & Garden > Kitchen & Dining > Water Bottles,Bottle,"lifestyle,acessorios,colecao-urban",TRUE,Title,Default Title,DOTZ-BT-001,420,shopify,200,deny,manual,99.90,129.90,TRUE,TRUE,https://picsum.photos/seed/flow-bottle/1200/1200,1,Flow Insulated Bottle,FALSE,active
stride-runner-sneakers,Stride Runner Sneakers,"<p>Tenis leve para corrida com espuma responsiva e solado aderente.</p>",Dotz Move,Apparel & Accessories > Shoes,Sneakers,"calcados,esporte,colecao-fashion",TRUE,Title,42,DOTZ-SN-042,710,shopify,55,deny,manual,329.90,399.90,TRUE,TRUE,https://picsum.photos/seed/stride-sneakers/1200/1200,1,Stride Runner Sneakers,FALSE,active
urban-core-hoodie,Urban Core Hoodie,"<p>Moletom premium unissex, toque macio e modelagem moderna.</p>",Dotz Move,Apparel & Accessories > Clothing,Hoodie,"roupas,fashion,colecao-fashion",TRUE,Title,M,DOTZ-HD-M,650,shopify,85,deny,manual,189.90,229.90,TRUE,TRUE,https://picsum.photos/seed/urban-hoodie/1200/1200,1,Urban Core Hoodie,FALSE,active
